Q1 (c),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.0,0.30902,0.58779,0.80902,0.95106,1.0,0.95106,0.80902,0.58779,0.30902,0.0,-0.30902,-0.58779,-0.80902,-0.95106,-1.0,-0.95106,-0.80902,-0.58779,-0.30902,-0.0
1,0.0,0.27837,0.52949,0.72878,0.85673,0.90083,0.85673,0.72878,0.52949,0.27837,0.0,-0.27837,-0.52949,-0.72878,-0.85673,-0.90083,-0.85673,-0.72878,-0.52949,-0.27837,0.0
2,0.0,0.25076,0.47698,0.6565,0.77177,0.81146,0.77177,0.6565,0.47698,0.25076,0.0,-0.25076,-0.47698,-0.6565,-0.77177,-0.81146,-0.77177,-0.6565,-0.47698,-0.25076,0.0
3,0.0,0.2259,0.42966,0.5914,0.69519,0.73103,0.69519,0.5914,0.42966,0.2259,0.0,-0.2259,-0.42966,-0.5914,-0.69519,-0.73103,-0.69519,-0.5914,-0.42966,-0.2259,0.0
4,0.0,0.20347,0.38708,0.53268,0.62634,0.6584,0.62634,0.53268,0.38708,0.20347,0.0,-0.20347,-0.38708,-0.53268,-0.62634,-0.6584,-0.62634,-0.53268,-0.38708,-0.20347,0.0
5,0.0,0.18335,0.34857,0.48005,0.56393,0.59343,0.56393,0.48005,0.34857,0.18335,0.0,-0.18335,-0.34857,-0.48005,-0.56393,-0.59343,-0.56393,-0.48005,-0.34857,-0.18335,0.0
6,0.0,0.16498,0.31438,0.43182,0.50883,0.53365,0.50883,0.43182,0.31438,0.16498,0.0,-0.16498,-0.31438,-0.43182,-0.50883,-0.53365,-0.50883,-0.43182,-0.31438,-0.16498,0.0
7,0.0,0.14919,0.282,0.39086,0.45595,0.48335,0.45595,0.39086,0.282,0.14919,0.0,-0.14919,-0.282,-0.39086,-0.45595,-0.48335,-0.45595,-0.39086,-0.282,-0.14919,0.0
8,0.0,0.13259,0.25773,0.34651,0.41776,0.42783,0.41776,0.34651,0.25773,0.13259,0.0,-0.13259,-0.25773,-0.34651,-0.41776,-0.42783,-0.41776,-0.34651,-0.25773,-0.13259,0.0
9,0.0,0.12504,0.22089,0.32875,0.35577,0.40742,0.35577,0.32875,0.22089,0.12504,0.0,-0.12504,-0.22089,-0.32875,-0.35577,-0.40742,-0.35577,-0.32875,-0.22089,-0.12504,0.0
10,0.0,0.09546,0.23306,0.24684,0.38073,0.30276,0.38073,0.24684,0.23306,0.09546,0.0,-0.09546,-0.23306,-0.24684,-0.38073,-0.30276,-0.38073,-0.24684,-0.23306,-0.09546,0.0
11,0.0,0.13816,0.1076,0.36854,0.16607,0.46076,0.16607,0.36854,0.1076,0.13816,0.0,-0.13816,-0.1076,-0.36854,-0.16607,-0.46076,-0.16607,-0.36854,-0.1076,-0.13816,0.0
12,0.0,-0.03279,0.40295,-0.10099,0.6698,-0.13641,0.6698,-0.10099,0.40295,-0.03279,0.0,0.03279,-0.40295,0.10099,-0.6698,0.13641,-0.6698,0.10099,-0.40295,0.03279,0.0
13,0.0,0.44193,-0.54914,1.19058,-0.92804,1.49731,-0.92804,1.19058,-0.54914,0.44193,0.0,-0.44193,0.54914,-1.19058,0.92804,-1.49731,0.92804,-1.19058,0.54914,-0.44193,0.0
14,0.0,-1.01,2.21773,-2.71874,3.67596,-3.41748,3.67596,-2.71874,2.21773,-1.01,0.0,1.01,-2.21773,2.71874,-3.67596,3.41748,-3.67596,2.71874,-2.21773,1.01,0.0
15,0.0,3.28372,-6.05433,8.76214,-9.99038,10.95683,-9.99038,8.76214,-6.05433,3.28372,0.0,-3.28372,6.05433,-8.76214,9.99038,-10.95683,9.99038,-8.76214,6.05433,-3.28372,0.0
16,0.0,-9.50481,18.41932,-25.25036,30.23386,-31.49109,30.23386,-25.25036,18.41932,-9.50481,0.0,9.50481,-18.41932,25.25036,-30.23386,31.49109,-30.23386,25.25036,-18.41932,9.50481,0.0
17,0.0,28.41864,-54.12038,75.21355,-88.52386,93.58981,-88.52386,75.21355,-54.12038,28.41864,0.0,-28.41864,54.12038,-75.21355,88.52386,-93.58981,88.52386,-75.21355,54.12038,-28.41864,0.0
18,0.0,-84.00497,160.5518,-221.7298,261.89655,-275.44964,261.89655,-221.7298,160.5518,-84.00497,0.0,84.00497,-160.5518,221.7298,-261.89655,275.44964,-261.89655,221.7298,-160.5518,84.00497,0.0
19,0.0,248.89767,-474.56826,655.61838,-772.56491,813.4414,-772.56491,655.61838,-474.56826,248.89767,0.0,-248.89767,474.56826,-655.61838,772.56491,-813.4414,772.56491,-655.61838,474.56826,-248.89767,0.0
20,0.0,-736.31264,1403.57446,-1936.55232,2281.44767,-2400.47933,2281.44767,-1936.55232,1403.57446,-736.31264,0.0,736.31264,-1403.57446,1936.55232,-2281.44767,2400.47933,-2281.44767,1936.55232,-1403.57446,736.31264,0.0
